Player name,Rating,Won,Draw,Lost
yoshinorioshiro,1502,10552,478,10371
HardyRabbit,1502,1101,14,1011
Daryl_games,1502,6186,186,6065
Tenacle,1502,160,11,153
Antonia_1985,1501,28118,1448,28145
ChessIzy,1501,902,67,769
Kawaihari,1501,699,77,675
picotive,1501,60,1,47
krakxn,1501,521,59,433
NOWAR_sakamoto,1500,523,26,469
jc939,1500,17,2,15
ajax_ajax,1500,371,35,375
StevenBaggins,1500,699,22,636
Kiyotapon,1500,104,6,44
Asaka99,1500,147,2,24
stefbenta01,1500,480,45,360
sertyuifd,1500,713,67,596
HisokaLovesYou,1500,13,1,15
Drakulew,1500,235,23,207
nap5ter,1499,28,2,22
Faina_S_SHinozaki,1499,206,3,74
tendo29,1498,5666,305,5689
kizukiminami,1497,152,2,46
soup-erman,1496,139,14,93
yamaneko2200,1496,97,9,84
N3KO-Chan,1496,13,0,17
RedFastMath,1495,273,31,229
LogicalRose,1495,35,1,7
Ayanokami,1495,53,3,48
XGrazy,1494,114,4,100
BreeVandeC,1494,147,5,121
sjjsjskak,1492,54,0,34
o28_111,1492,6815,293,6667
ansaku,1492,1399,91,1301
PankajV,1491,1688,49,1679
jpmgmpmg,1490,291,24,274
lepton0929,1489,760,53,661
broncobally,1488,2774,146,2353
TALpingmoves,1487,361,35,342
SamuraiHorse,1486,559,37,496
Ainojin_14,1486,107,6,124
sakechan0,1485,114,8,69
Bolcano,1485,168,3,84
yuya64,1483,22,2,9
chrysanthemon,1483,15641,819,15698
mrtaka1234,1483,1578,129,1484
HarpyMax,1482,13308,1151,13071
Harbinger-Of-Doom,1482,150,3,101
AO-toostrongtoogreat,1481,1064,60,1017
Fumino32,1481,1067,101,1038
77Naruto_Uzumaki77,1481,,,
Vegeta-Hakaishin,1480,348,39,352
IAmLLawliet,1479,3245,127,3080
DuchessLilitu,1479,4453,286,4350
Vegetafs,1478,318,11,307
bumsuko1,1478,133,4,92
COFFEE78,1477,1814,137,1718
Rani96,1476,179,8,131
Danielhro,1476,25,2,18
gmax1111,1476,17,0,11
radpi007,1476,4245,249,4136
saragaran,1475,613,20,579
JustRyoHere,1474,3684,165,3555
maru9,1474,6707,162,6563
senseitama1010,1473,2451,183,2365
Miyu_honda,1472,188,5,39
aaanna1205,1472,152,1,40
LingLongChi,1471,631,59,1061
newtochessplsnotoxic,1471,181,10,159
Champion1118,1471,211,18,168
road2onehundred,1470,73,3,29
Caped-Baldy,1469,5568,191,5438
guy_forget,1469,466,18,429
Yotsuba_Nakano,1469,423,30,375
fishman15,1468,115,11,100
NihonYoni,1468,208,12,97
Kohina_RyoHironashi,1468,306,48,313
victorparatest,1467,16,1,5
DarealNudz,1467,209,12,162
Drunk_Hikaru,1467,17,2,22
kungu1808,1466,83,6,65
Subronie,1466,377,14,325
Aphyxios,1466,15,1,5
Sakura0414,1466,1457,72,1382
Noa,1466,198,9,134
rockali22,1464,1164,111,1109
YeMann999,1464,1779,131,1635
gaia2016,1464,2824,126,2728
1916infantry,1464,11,0,13
DaimyoNobunaga,1464,25,2,4
nana74u,1463,156,11,164
PeterWada,1463,32,1,25
cl_o_ud2020,1463,2814,172,2710
AinzOoallGown,1462,15,1,5
penpenpp,1462,1582,72,1494
Arvan_Famille,1461,232,15,286
vakadane,1460,5026,413,4887
yuichi-k,1460,3148,86,3075
WatchMyHands,1460,562,22,509
mickymouse1982,1460,2779,152,2673
Guess_01,1460,,,
SASASAnn,1460,98,10,89
Tokusada,1459,29,4,28
1b61-O,1459,2005,69,1354
TemporaryShadow,1459,1363,82,1270
Micochong004,1458,2463,121,2346
szomus,1458,13666,1028,13282
Yohana_Hoshiakari,1457,57,5,42
Kemi78,1457,3146,110,3123
TheRadiumChemist,1457,95,7,48
Jajaaa_Aeron,1455,324,5,280
altairaquilae,1455,30,3,31
Kanapov,1455,6431,272,6205
scresat_42,1455,227,17,208
JhayeDChess,1454,177,15,184
NyxiumYuuki,1453,556,35,523
yuiyui1012,1453,154,2,51
EdogawaConan_22,1453,12,1,15
OlaWooz,1453,163,9,148
alphatatas,1453,1472,94,1314
shinrock,1452,539,23,496
mita_pre,1452,458,31,422
Moskvin777zz,1452,1790,69,1530
Korone-kun,1452,172,21,131
Takemikazuchii,1452,43,2,23
DrBrinza,1451,34,3,22
dothaolinh332011,1451,51,1,28
yycy24,1451,202,19,152
jose0421,1451,269,10,299
kotatsutako,1451,2333,29,1933
rowanoodle,1450,380,13,322
sosukeikematsu,1450,1407,80,1318
Ritsuki_Liyuu,1449,624,16,567
pmcarlton,1449,294,18,270
HichewSAN,1449,171,6,128
Baketsu,1449,8176,680,7893
takayuu21,1449,1513,96,1378
kosuke55,1448,52,2,23
yabuinu,1448,2240,70,2126
shridhoni,1448,5958,136,5936
marimarimarii,1448,3746,216,3666
ThakuriMalla,1447,4237,188,4243
TakashiSouma891,1447,7,0,18
kazuya0000,1446,741,70,704
Ohayo15,1446,368,11,442
teakaya,1445,407,24,363
LeagueCraft,1445,890,55,787
LeoMessi124,1445,12,1,7
R-Bit,1445,,,
OnePunchMan_Saitama,1444,1549,139,1453
arthuryamato,1444,1460,78,936
