Player name,Rating,Won,Draw,Lost
Nuclearfist428,494,2,0,2
kirmittjp,494,49,28,28
screamb0ii,494,1,0,2
Lwinupi1111,493,6,0,4
Nazaar303,493,3,0,6
oiloodoo,492,2,0,2
coooooooooooooooooooool,492,1,0,3
muhmmad111,492,4,1,3
amane_kanatA,492,1,0,2
Elliottjunw,492,5,2,18
woodrir,491,0,0,3
Reironmeru,490,0,0,4
luigi_buddha,490,5,1,16
ViperionX1,490,3,0,10
Foxhana,490,3,0,3
Niachyan,489,0,1,16
Nathanshirley,489,12,2,22
Wooossshhhhh,489,9,1,11
brondi1,488,0,1,4
sasuukei,488,6,0,6
Genearlbear,488,2,0,2
TerrificWater,487,0,0,4
ishigamijp,487,11,0,2
highwisdom8820,487,1,0,7
GabrielNewby,487,0,0,3
MrRedacted42,486,16,2,15
Johnkenji17,486,15,0,10
og_budda,486,5,0,12
polskipapa,485,2,0,3
iris4blume,485,4,0,8
hagiko7733,485,0,0,6
Lue-lee,484,0,0,4
ceckson,484,0,0,4
INTGBALIT,484,2,0,7
kanekii69,483,10,0,6
odavids,483,8,1,16
JoseJPUK,516,3,0,1
luce_000,516,1,1,4
Mutsuragi,515,1,1,2
kellySTAR,515,0,0,4
troichik,514,2,0,4
monikosa,514,2,2,19
itroll33r,514,1,0,7
Anndorun,514,4,1,3
Gwapoogian,513,1,0,3
KuraiOnYoutube,513,2,0,12
mickeysisi,512,15,0,7
simimanoj,511,5,0,4
Asakusa316,510,3,0,7
incestriz,510,0,0,5
Stoneyjay,510,2,0,2
namezou1220,510,3,0,2
y08taden,510,3,0,5
Hunter033killer3,510,11,0,7
turtleparul,509,3,0,1
MushroomPlucker,509,3,2,35
K23456K,509,2,0,3
AkiraRk,509,2,1,0
shionyasuda,508,4,0,7
Lastishi,508,2,0,9
that_salty_guy,508,0,0,3
ahzloco,508,0,0,3
Bestrandomplayer,507,2,0,5
eyouth1,507,5,0,7
Lil_Carpi,507,3,0,2
roakm,507,3,0,1
ivanisafurry,506,2,0,2
elljunai,505,1,0,2
monika_aaa,505,4,0,34
nn120,505,1,0,2
JamesBlake69,504,1,0,4
WizardBobbles,504,32,0,25
Chicoflorez,504,3,1,9
Kyuuuri,504,2,0,2
darkione03,503,6,0,4
snowflakkeesss,503,20,0,16
ABChessDj,503,1,0,17
v3n0mc1d3,502,1,0,2
mariobruce,502,6,0,6
dcytix,501,0,0,4
bunnykika,501,4,2,9
Xan3333,500,3,0,0
PENANOCHE,500,25,0,24
eik77,500,0,0,6
FatukiAboricci,499,3,0,21
EV748,498,2,0,2
sakitsurugi,526,60,6,44
ColonialHenri,526,2,1,6
oogsboogsmydudes,526,2,0,1
Armantagata06,526,4,0,1
smokingjotaro,525,0,0,5
karlopoires,525,17,3,39
REDCRABJP,525,10,0,13
xenoivan,525,9,0,7
reymartJUSTIENE,525,1,0,11
huutennrougin,523,2,0,2
NoChessNoLifeZero,523,0,0,4
BexTRt,523,10,1,10
lijacky,523,3,0,0
TheExorcist_2,523,0,0,9
y7ri_nn,523,1,0,3
miduljrhr1212,523,4,0,5
Riya6418,523,5,0,14
Yucky-S,522,3,1,25
CaseTheGay,522,1,0,4
geraldread,522,13,0,18
Dvorak666,522,22,2,7
renysivan,522,43,0,36
dreamfan086,522,46,0,66
Edouard1797,521,0,0,3
leooma,521,27,3,22
godplayerDESU,521,5,0,5
car_guy_69,520,6,0,20
TrickerGod,520,1,0,11
L_wannabe,520,3,0,1
3ki123,520,2,0,1
Sloret,520,2,1,0
chesschesschss,520,4,0,6
ItzQB,520,0,0,8
mallypanks,520,0,0,4
Tem4ik9,519,3,0,5
Hent3,518,1,0,2
TokuKun,518,4,0,1
AGhostChessboard,518,5,0,5
TTV-Nikaru,518,98,0,308
tandoyt,518,5,0,5
Lewis_chessw,518,0,0,3
obohP,517,5,2,10
chesschessnewbie,517,71,7,176
1crazy2344,517,3,0,17
josherine,517,2,0,4
Charley_YC,517,4,0,6
Nevergonnagiveyouup6,517,2,0,7
S1-God,516,1,1,2
CH3SShaxkerplayz,516,34,0,41
Khantthu4043,516,0,0,16
TairaC,540,2,0,2
AaruDC,540,0,1,5
mikako0117,539,0,0,3
dekerso,539,1,0,2
MfNamedDoom,539,2,0,2
KAY04050622,538,5,1,21
DadOfTurtle,538,3,1,2
kiyomikiko,538,3,0,5
3y3m,538,1,0,5
yamato011fk,537,5,0,4
ayut1107,537,17,1,45
SadlySmiling,537,3,2,4
hiro2929,537,0,0,4
hahaha88haha,537,2,0,16
sapporoclassic,537,25,6,51
Kayo_H,537,7,0,14
FrancoArrow,537,0,0,3
tokyocoffeejp,536,41,1,55
fnafset,536,27,0,67
DinoBuddy,536,2,0,2
PLAYERD7,535,5,3,4
luca_ross,535,1,0,2
a0xf1,534,3,0,0
peritozu,534,0,1,2
AA9705AT,534,1,1,1
jalcaide33,534,3,0,7
nobuchessEX,534,0,0,4
bonttyakkusu,533,4,0,2
YukimuraSan,533,3,0,4
111_ghost_111,533,1,0,4
ICee50,532,6,1,1
IWantVaporflysAtDana,532,1,1,1
PeseNiru,532,1,0,2
AppinoChess,531,3,0,2
r0z3n,531,2,0,1
rnnelson,530,4,0,1
tuyuko,529,8,0,9
Mikira09,529,1,0,3
TORONTOTOKYO667,529,2,0,1
MartinAgain,529,0,0,3
GAWASA,528,3,1,2
iMochiiBTW,528,2,0,3
Evzlol,528,5,0,1
hey-tea,527,10,0,8
Anglx14,527,9,1,12
kindgrimreaper,526,4,1,8
JKTOE,526,3,0,4
FrodoGamgee,526,82,1,116
Nikitaskasumary,526,8,1,14
Backtoviolet,526,3,0,1
Finzmichi,552,0,0,4
Devilslyer,552,1,0,7
hu6a6u6a,551,1,0,2
MomooUwU,551,2,0,1
DigbickBustinNutzOnEm,550,3,0,3
Kurohitsugi41,550,3,1,2
TripEights,550,42,5,85
Jean-T,550,0,0,5
Wqld,550,2,0,1
dangooishi,549,3,0,2
Technokat256,549,5,0,5
bekmurodbe,549,1,0,2
Hangraram,548,24,1,42
PLAYB01NICK,548,0,0,3
ToniLamb,548,2,0,5
cotiebear88,548,7,0,14
ShigetoraUI,547,2,0,2
Yuya0524,547,2,0,1
dodo_die,547,0,0,3
javawacky,546,1,0,2
XBCSceles,546,1,0,2
oa235ra,546,3,0,0
AdamZulyar,546,2,0,1
hobozach66,546,2,1,3
sinobras,546,2,1,1
EnGeniusa,546,7,0,2
Silasvi,546,1,0,2
Yapsah,546,2,0,2
BBRook13,546,2,0,1
VetyF,546,1,3,0
Chessmastermountie,546,0,0,8
DerpyDerp4000,546,2,0,3
nihonnootaku,546,1,0,4
Yerda7,545,3,1,4
