Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
higapon,2001,9252.0,1072.0,7604.0,"Mar 19, 2012",13 hours ago,2023-04-02 14:05:53,2023-04-01 06:05:53
tottoa,2000,2501.0,170.0,2133.0,"Mar 29, 2018",15 hours ago,2023-04-02 14:05:59,2023-04-01 04:05:59
ramoveatnust,1997,5612.0,736.0,5561.0,"Feb 3, 2019",2 days ago,2023-04-02 14:06:06,2023-03-30 19:06:06
NEZGODAN-MOMAK,1994,8039.0,682.0,7506.0,"Oct 29, 2015",3 hours ago,2023-04-02 14:06:13,2023-04-01 16:06:13
ElSamuraiRua,1989,203.0,22.0,154.0,"Jan 24, 2023",2 days ago,2023-04-02 14:06:19,2023-03-30 19:06:19
MirTheDragon,1989,13.0,1.0,6.0,"Jun 8, 2021",Just now,2023-04-02 14:06:26,2023-04-01 19:06:26
Zosaya,1985,50.0,6.0,11.0,"Mar 14, 2023",6 days ago,2023-04-02 14:06:39,2023-03-26 19:06:39
yngiled,1984,8812.0,532.0,8734.0,"Dec 4, 2012",8 hours ago,2023-04-02 14:06:46,2023-04-01 11:06:46
Pon_de_Lion,1984,8655.0,1112.0,8314.0,"Sep 24, 2012",12 hours ago,2023-04-02 14:06:52,2023-04-01 07:06:52
21osakat,1983,531.0,48.0,385.0,"Sep 5, 2015",11 days ago,2023-04-02 14:06:59,2023-03-21 19:06:59
mekki42,1983,2369.0,328.0,2120.0,"Jul 8, 2022",5 hours ago,2023-04-02 14:07:05,2023-04-01 14:07:05
tsetsenkhuu,1982,1589.0,123.0,1386.0,"Apr 30, 2012",2 days ago,2023-04-02 14:07:12,2023-03-30 19:07:12
realelhammondo,1980,5934.0,595.0,5389.0,"Oct 17, 2015",1 day ago,2023-04-02 14:07:18,2023-03-31 19:07:18
hanymazn57,1978,3032.0,56.0,2643.0,"Nov 1, 2019",2 hours ago,2023-04-02 14:07:25,2023-04-01 17:07:25
EliteHo3,1978,2431.0,185.0,2246.0,"Oct 23, 2015",1 day ago,2023-04-02 14:07:32,2023-03-31 19:07:32
ni2482,1975,14692.0,890.0,12138.0,"May 24, 2012",5 minutes ago,2023-04-02 14:07:38,2023-04-01 19:02:38
neverdieee,1972,502.0,40.0,415.0,"Jan 24, 2017",28 days ago,2023-04-02 14:07:45,2023-03-04 19:07:45
Miss-Tical,1970,295.0,38.0,248.0,"Aug 15, 2022",17 minutes ago,2023-04-02 14:07:51,2023-04-01 18:50:51
Reasonable_Leopard,1968,775.0,53.0,624.0,"Feb 12, 2017",16 hours ago,2023-04-02 14:07:58,2023-04-01 03:07:58
Ryuzaki1173,1968,29.0,2.0,9.0,"Jan 21, 2023",22 days ago,2023-04-02 14:08:04,2023-03-10 19:08:04
NoisyDragon,1967,433.0,9.0,264.0,"Aug 13, 2020",29 minutes ago,2023-04-02 14:08:11,2023-04-01 18:39:11
sora1066,1967,48.0,7.0,27.0,"Dec 5, 2022",2 days ago,2023-04-02 14:08:18,2023-03-30 19:08:18
GanyuMains,1967,97.0,10.0,65.0,"Jul 26, 2022","Mar 1, 2023",2023-04-02 14:08:24,2023-03-01 00:00:00
FISHER20,1967,2182.0,178.0,1818.0,"Sep 17, 2014",10 hours ago,2023-04-02 14:08:31,2023-04-01 09:08:31
Schakkamura,1966,2636.0,209.0,1602.0,"Jan 8, 2020",3 hours ago,2023-04-02 14:08:37,2023-04-01 16:08:37
IM-Houdini,1966,40.0,5.0,29.0,"Dec 4, 2021","Jan 27, 2023",2023-04-02 14:08:44,2023-01-27 00:00:00
kiula1101,1965,5718.0,552.0,5363.0,"Jan 16, 2020",2 hours ago,2023-04-02 14:08:50,2023-04-01 17:08:50
samurai_245,1963,6636.0,726.0,5913.0,"Oct 19, 2020",12 hours ago,2023-04-02 14:08:57,2023-04-01 07:08:57
MikaelBjarki,1963,2433.0,271.0,2535.0,"Oct 6, 2015",6 hours ago,2023-04-02 14:09:03,2023-04-01 13:09:03
