Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
enju,"Oct 26, 2011",10 hours ago,2023-04-02 14:14:01,2023-04-01 09:14:01
philipthomasneumann,"Feb 1, 2023",1 day ago,2023-04-02 14:14:08,2023-03-31 19:14:08
PhenomenalPhantom,"Jan 17, 2021","Sep 5, 2022",2023-04-02 14:14:14,2022-09-05 00:00:00
iCMpro,"Mar 13, 2020","Dec 2, 2021",2023-04-02 14:14:21,2021-12-02 00:00:00
fujiicorn,"Jan 5, 2012",1 day ago,2023-04-02 14:14:28,2023-03-31 19:14:28
Antelminelli,"Feb 21, 2023",24 days ago,2023-04-02 14:14:35,2023-03-08 19:14:35
El_Rey_Shotoku_Tenno,"Aug 27, 2022","Feb 21, 2023",2023-04-02 14:14:41,2023-02-21 00:00:00
miscacctxxxxxx,"Mar 25, 2019","Nov 14, 2022",2023-04-02 14:14:48,2022-11-14 00:00:00
detector21,"Oct 13, 2016","Dec 23, 2022",2023-04-02 14:14:55,2022-12-23 00:00:00
KakashiHatake2,"Apr 11, 2015",11 days ago,2023-04-02 14:15:01,2023-03-21 19:15:01
sutek001,"Feb 12, 2014",9 days ago,2023-04-02 14:15:08,2023-03-23 19:15:08
kebon13,"Dec 3, 2010","Oct 12, 2022",2023-04-02 14:15:14,2022-10-12 00:00:00
Ai_Mori,"Nov 10, 2022","Feb 21, 2023",2023-04-02 14:15:21,2023-02-21 00:00:00
taishi33696639,"Oct 30, 2020",15 days ago,2023-04-02 14:15:28,2023-03-17 19:15:28
miscacctxxxxxxx,"Apr 8, 2019","Sep 29, 2022",2023-04-02 14:15:35,2022-09-29 00:00:00
hikoroman,"Apr 5, 2021",Just now,2023-04-02 14:15:41,2023-04-01 19:15:41
tifa_forever,"Jul 31, 2012",Just now,2023-04-02 14:15:47,2023-04-01 19:15:47
coffee_bean13,"Jul 27, 2017",14 days ago,2023-04-02 14:15:54,2023-03-18 19:15:54
Nimzoviva,"Dec 23, 2022","Jan 3, 2023",2023-04-02 14:16:00,2023-01-03 00:00:00
PawnTakesAll69,"May 18, 2014",20 hours ago,2023-04-02 14:16:07,2023-03-31 23:16:07
KnightsMurderer,"Feb 4, 2022","Mar 13, 2022",2023-04-02 14:16:13,2022-03-13 00:00:00
yamasouu,"Dec 18, 2021",13 hours ago,2023-04-02 14:16:20,2023-04-01 06:16:20
DaimyoNobunaga,"Mar 6, 2021","Jan 1, 2023",2023-04-02 14:16:26,2023-01-01 00:00:00
ohnotokyo,"Jun 3, 2020","Jan 18, 2023",2023-04-02 14:16:33,2023-01-18 00:00:00
Player140020,"Apr 15, 2022",35 minutes ago,2023-04-02 14:16:39,2023-04-01 18:41:39
XStockFishLevelX20,"Aug 20, 2021","Jan 30, 2023",2023-04-02 14:16:46,2023-01-30 00:00:00
sioya,"Jan 1, 2013",20 days ago,2023-04-02 14:16:53,2023-03-12 19:16:53
shicoooooo,"Dec 11, 2011","Feb 11, 2023",2023-04-02 14:16:59,2023-02-11 00:00:00
Endital1ng,"Nov 16, 2021","Jan 25, 2022",2023-04-02 14:17:06,2022-01-25 00:00:00
contami,"Nov 7, 2016","Jul 22, 2022",2023-04-02 14:17:13,2022-07-22 00:00:00
